Model,Metric,SDR,SIR,SAR,ISR
combined_transmittance,Overall,9.25481898823317,12.897733264853166,8.120509876127798,13.880495920729663
combined_transmittance_all,Overall,8.603341725417467,11.190669750073194,7.9422519460032355,12.760732655394605
bs_roformer,Overall,9.649466809864435,14.487251807917946,7.647589193651063,15.291023441539004
htdemucs,Overall,8.161913552053793,11.973730533515122,6.588637309041612,12.93904281124645
htdemucs_ft,Overall,8.57793999012667,12.48165982495963,6.8205230715931995,13.174173002979225
htdemucs_zf,Overall,8.139568927066898,11.756624584278097,6.532644884584236,12.39173518770264
mel_band_roformer,Overall,8.69187432793478,12.397236904451802,7.118163786977346,13.632419359525286
openunmix,Overall,5.810621652016516,8.20171164808065,5.345228528649555,10.391487266601413
scnet_masked_xl_ihf,Overall,7.318106428403311,10.461762978709169,6.7738932636559595,11.941684814815483
scnet_xl,Overall,8.220994646095454,11.335240063053007,7.137634568128467,12.954422766267799
scnet_xl_ihf,Overall,7.988244627787685,10.884378065764903,7.128556089368098,12.464071953598372
XUMXL,Overall,5.934011118638081,8.711862896518268,5.067531304362003,10.927640607779676
